Hyatt Centric Midtown Atlanta,"35,917",Atlanta_Georgia,4,"1,070",Free Wifi ,#38 Best Value of 289 places to stay in Atlanta
Hampton Inn & Suites Atlanta-Downtown,"21,908",Atlanta_Georgia,4,"1,464",Free Wifi ,#39 Best Value of 289 places to stay in Atlanta
W Atlanta - Downtown,"39,368",Atlanta_Georgia,4,"1,311",Pool ,#40 Best Value of 289 places to stay in Atlanta
Emory Conference Center Hotel,"26,503",Atlanta_Georgia,4.5,"1,468",Free Wifi ,#41 Best Value of 289 places to stay in Atlanta
Home2 Suites by Hilton Atlanta Downtown,"21,906",Atlanta_Georgia,4,606,Free Wifi ,#42 Best Value of 289 places to stay in Atlanta
Four Seasons Hotel Atlanta,"76,980",Atlanta_Georgia,4.5,"1,543",Free Wifi ,#43 Best Value of 289 places to stay in Atlanta
Atlanta Airport Marriott Gateway,"24,685",Atlanta_Georgia,4.5,"1,476",Pool ,#44 Best Value of 289 places to stay in Atlanta
The Burgess Hotel Trademark Collection by Wyndham,"35,553",Atlanta_Georgia,4.5,"2,710",Free Wifi ,#45 Best Value of 289 places to stay in Atlanta
Residence Inn Atlanta Downtown,"23,290",Atlanta_Georgia,4,585,Free Wifi ,#46 Best Value of 289 places to stay in Atlanta
Hilton Garden Inn Atlanta - Buckhead,"17,078",Atlanta_Georgia,3.5,"1,445",Free Wifi ,#47 Best Value of 289 places to stay in Atlanta
Comfort Inn Sandy Springs - Perimeter,"27,695",Atlanta_Georgia,3.5,83,Free Wifi ,#48 Best Value of 289 places to stay in Atlanta
Fairfield by Marriott Atlanta Buckhead,"18,475",Atlanta_Georgia,4,393,Free Wifi ,#49 Best Value of 289 places to stay in Atlanta
Hyatt Place Atlanta Airport North,"18,886",Atlanta_Georgia,4,"1,322",Free Wifi ,#50 Best Value of 289 places to stay in Atlanta
"Hotel Indigo Atlanta Midtown, an IHG hotel","25,520",Atlanta_Georgia,4,"1,255",Free Wifi ,#51 Best Value of 289 places to stay in Atlanta
Aloft Atlanta Downtown,"20,562",Atlanta_Georgia,4,"1,192",Free Wifi ,#52 Best Value of 289 places to stay in Atlanta
Barclay Hotel Atlanta Downtown,"19,019",Atlanta_Georgia,3.5,502,Free Wifi ,#53 Best Value of 289 places to stay in Atlanta
Aloft Atlanta At The Battery Atlanta,"21,908",Atlanta_Georgia,3.5,13,Free Wifi ,#54 Best Value of 289 places to stay in Atlanta
"Glenn Hotel, Autograph Collection","31,727",Atlanta_Georgia,4,20,Free Wifi ,#55 Best Value of 289 places to stay in Atlanta
Motel 6 Atlanta Downtown,"15,524",Atlanta_Georgia,3.5,321,Free Wifi ,#56 Best Value of 289 places to stay in Atlanta
"Inn At The Peachtrees, Ascend Hotel Collection","20,528",Atlanta_Georgia,3.5,"1,044",Free Wifi ,#57 Best Value of 289 places to stay in Atlanta
Sonesta Select Atlanta Midtown Georgia Tech,"22,046",Atlanta_Georgia,3.5,312,Free Wifi ,#58 Best Value of 289 places to stay in Atlanta
Home2 Suites by Hilton Atlanta Airport West,"17,423",Atlanta_Georgia,2,54,Free Wifi ,#59 Best Value of 289 places to stay in Atlanta
"Motel 6 Atlanta, GA - Stadium SE","9,781",Atlanta_Georgia,2,60,Free Wifi ,#60 Best Value of 289 places to stay in Atlanta
Hyatt Place Atlanta/Buckhead,"19,649",Atlanta_Georgia,4,"1,416",Free Wifi ,Not available
Bellyard,"52,615",Atlanta_Georgia,5,20,Free Wifi ,#61 Best Value of 289 places to stay in Atlanta
Renaissance Atlanta Midtown Hotel,"58,832",Atlanta_Georgia,4.5,"1,380",Room service ,#62 Best Value of 289 places to stay in Atlanta
The Westin Atlanta Airport,"27,428",Atlanta_Georgia,3.5,387,Free Wifi ,#63 Best Value of 289 places to stay in Atlanta
"Holiday Inn Express & Suites Atlanta N-Perimeter Mall Area, an IHG Hotel","18,851",Atlanta_Georgia,4,320,Not available,#64 Best Value of 289 places to stay in Atlanta
"Ellis Hotel, Atlanta, a Tribute Portfolio Hotel","30,878",Atlanta_Georgia,4,"1,708",Free Wifi ,#65 Best Value of 289 places to stay in Atlanta
Omni Atlanta Hotel at CNN Center,"23,324",Atlanta_Georgia,4,"7,519",Visit hotel website ,Not available
"Twelve Downtown, Autograph Collection","49,526",Atlanta_Georgia,4,470,Free Wifi ,#66 Best Value of 289 places to stay in Atlanta
Kimpton Sylvan Hotel,"33,121",Atlanta_Georgia,4,28,Free Wifi ,#67 Best Value of 289 places to stay in Atlanta
Homewood Suites by Hilton Atlanta - Cumberland / Galleria,"19,148",Atlanta_Georgia,3.5,910,Free Wifi ,#68 Best Value of 289 places to stay in Atlanta
Stonehurst Place Bed & Breakfast,"86,079",Atlanta_Georgia,5,574,Free Wifi ,#69 Best Value of 289 places to stay in Atlanta
Hampton Inn Atlanta - Perimeter Center,"19,320",Atlanta_Georgia,4,824,Free Wifi ,#70 Best Value of 289 places to stay in Atlanta
JW Marriott Atlanta Buckhead,"41,746",Atlanta_Georgia,4,"1,342",Pool ,#71 Best Value of 289 places to stay in Atlanta
Moxy Atlanta Midtown,"29,522",Atlanta_Georgia,3.5,65,Free Wifi ,#72 Best Value of 289 places to stay in Atlanta
Home2 Suites by Hilton Atlanta Midtown,"24,780",Atlanta_Georgia,3,33,Free Wifi ,#73 Best Value of 289 places to stay in Atlanta
"Epicurean Atlanta, Autograph Collection","51,061",Atlanta_Georgia,5,2,Free Wifi ,#74 Best Value of 289 places to stay in Atlanta
Quality Suites Atlanta Buckhead Village North,"15,411",Atlanta_Georgia,4,493,Free Wifi ,#75 Best Value of 289 places to stay in Atlanta
"Hotel Indigo Atlanta - Vinings, an IHG hotel","21,848",Atlanta_Georgia,4,231,Free Wifi ,#76 Best Value of 289 places to stay in Atlanta
Sonesta Atlanta Northwest Galleria,"17,449",Atlanta_Georgia,4,"1,581",Free Wifi ,#77 Best Value of 289 places to stay in Atlanta
Extended Stay America - Atlanta - Northlake,"14,749",Atlanta_Georgia,3.5,152,Free Wifi ,#78 Best Value of 289 places to stay in Atlanta
Quality Inn & Suites,"14,749",Atlanta_Georgia,3.5,26,Free Wifi ,#79 Best Value of 289 places to stay in Atlanta
"Staybridge Suites Atlanta - Midtown, an IHG hotel","25,462",Atlanta_Georgia,4,142,Free Wifi ,#80 Best Value of 289 places to stay in Atlanta
AC Hotel Atlanta Midtown,"27,174",Atlanta_Georgia,4,39,Free Wifi ,#81 Best Value of 289 places to stay in Atlanta
Fairfield Inn & Suites Atlanta Vinings/Galleria,"23,133",Atlanta_Georgia,3.5,216,Free Wifi ,#82 Best Value of 289 places to stay in Atlanta
Staybridge Suites Atlanta-Buckhead,"27,695",Atlanta_Georgia,4,240,Free Wifi ,#83 Best Value of 289 places to stay in Atlanta
Extended Stay America - Atlanta - Clairmont,"17,076",Atlanta_Georgia,3.5,66,Free Wifi ,#84 Best Value of 289 places to stay in Atlanta
"Holiday Inn Express & Suites Atlanta Buckhead, an IHG hotel","20,649",Atlanta_Georgia,3.5,169,Free Wifi ,#85 Best Value of 289 places to stay in Atlanta
"Holiday Inn Atlanta-Northlake, an IHG hotel","16,224",Atlanta_Georgia,3.5,183,Free Wifi ,#86 Best Value of 289 places to stay in Atlanta
Towneplace Stes Buckh Marriott,"19,493",Atlanta_Georgia,3.5,174,Free Wifi ,#87 Best Value of 289 places to stay in Atlanta
Courtyard By Marriott Atlanta Executive ParkEmory,"25,186",Atlanta_Georgia,3.5,246,Restaurant ,#88 Best Value of 289 places to stay in Atlanta
Americas Best Value Inn - Downtown / Midtown,"15,524",Atlanta_Georgia,3,120,Free Wifi ,#89 Best Value of 289 places to stay in Atlanta
Alecia B&B,"19,838",Atlanta_Georgia,1,1,Not available,#90 Best Value of 289 places to stay in Atlanta
Hilton Garden Inn Atlanta - Buckhead,"17,078",Atlanta_Georgia,3.5,"1,445",Visit hotel website ,Not available
Drury Inn & Suites Atlanta Airport,"17,852",Atlanta_Georgia,4.5,774,Free Wifi ,#91 Best Value of 289 places to stay in Atlanta
Loews Atlanta Hotel,"40,211",Atlanta_Georgia,4.5,"2,876",Free Wifi ,#92 Best Value of 289 places to stay in Atlanta
Hyatt Place Atlanta / Centennial Park,"21,580",Atlanta_Georgia,4,284,Free Wifi ,#93 Best Value of 289 places to stay in Atlanta
Hampton Inn & Suites Atlanta Midtown,"21,218",Atlanta_Georgia,4.5,130,Free Wifi ,#94 Best Value of 289 places to stay in Atlanta
Hyatt Regency Atlanta Perimeter at Villa Christina,"21,848",Atlanta_Georgia,4.5,"1,198",Free Wifi ,#95 Best Value of 289 places to stay in Atlanta
Artmore Hotel,"20,821",Atlanta_Georgia,4.5,"2,094",Free Wifi ,#96 Best Value of 289 places to stay in Atlanta
Hampton Inn & Suites Atlanta - Galleria,"21,390",Atlanta_Georgia,4.5,770,Free Wifi ,#97 Best Value of 289 places to stay in Atlanta
Atlanta Marriott Northwest at Galleria,"26,879",Atlanta_Georgia,4,"1,014",Free Wifi ,#98 Best Value of 289 places to stay in Atlanta
Hyatt Place Atlanta/Downtown,"20,473",Atlanta_Georgia,4,"1,054",Free Wifi ,#99 Best Value of 289 places to stay in Atlanta
Hilton Garden Inn Atlanta Downtown,"18,975",Atlanta_Georgia,4,"2,172",Free Wifi ,#100 Best Value of 289 places to stay in Atlanta
"Country Inn & Suites by Radisson, Atlanta Galleria/Ballpark, GA","16,127",Atlanta_Georgia,4.5,"1,348",Free Wifi ,#101 Best Value of 289 places to stay in Atlanta
Hampton Inn & Suites by Hilton Atlanta Perimeter Dunwoody,"23,288",Atlanta_Georgia,4.5,602,Free Wifi ,#102 Best Value of 289 places to stay in Atlanta
The American Hotel Atlanta Downtown - a DoubleTree by Hilton,"20,959",Atlanta_Georgia,4,648,Pool ,#103 Best Value of 289 places to stay in Atlanta
SpringHill Suites Atlanta Downtown,"21,908",Atlanta_Georgia,4.5,308,Free Wifi ,#104 Best Value of 289 places to stay in Atlanta
The Georgian Terrace Hotel,"34,685",Atlanta_Georgia,4,"2,293",Free Wifi ,#105 Best Value of 289 places to stay in Atlanta
Emory Conference Center Hotel,"26,503",Atlanta_Georgia,4.5,"1,468",Free Wifi ,#106 Best Value of 289 places to stay in Atlanta
DoubleTree Suites by Hilton Hotel Atlanta - Galleria,"23,288",Atlanta_Georgia,4,"1,267",Pool ,#107 Best Value of 289 places to stay in Atlanta
Hilton Garden Inn Atlanta Marietta,"18,113",Atlanta_Georgia,4.5,760,Free Wifi ,#108 Best Value of 289 places to stay in Atlanta
La Quinta Inn & Suites by Wyndham Atlanta Ballpark/Galleria,"16,224",Atlanta_Georgia,4,823,Free Wifi ,#109 Best Value of 289 places to stay in Atlanta
Hyatt House Atlanta/Cobb Galleria,"18,475",Atlanta_Georgia,4,"1,054",Free Wifi ,#110 Best Value of 289 places to stay in Atlanta
Hyatt Centric Midtown Atlanta,"35,917",Atlanta_Georgia,4,"1,070",Free Wifi ,#111 Best Value of 289 places to stay in Atlanta
Sheraton Atlanta Hotel,"23,887",Atlanta_Georgia,4,"4,008",Pool ,#112 Best Value of 289 places to stay in Atlanta
Hampton Inn & Suites Atlanta Buckhead Place,"17,423",Atlanta_Georgia,4.5,248,Free Wifi ,#113 Best Value of 289 places to stay in Atlanta
"Holiday Inn & Suites Atlanta Airport-North, an IHG hotel","23,133",Atlanta_Georgia,4,982,Free Wifi ,#114 Best Value of 289 places to stay in Atlanta
Waldorf Astoria Atlanta Buckhead,"77,627",Atlanta_Georgia,4.5,237,Pool ,#115 Best Value of 289 places to stay in Atlanta
Hampton Inn Atlanta - Northlake,"18,458",Atlanta_Georgia,4.5,"1,061",Free Wifi ,#116 Best Value of 289 places to stay in Atlanta
Atlanta Airport Marriott Gateway,"24,685",Atlanta_Georgia,4.5,"1,476",Pool ,#117 Best Value of 289 places to stay in Atlanta
Courtyard by Marriott Atlanta Downtown,"26,057",Atlanta_Georgia,4,552,Free Wifi ,#118 Best Value of 289 places to stay in Atlanta
Home2 Suites by Hilton Atlanta Downtown,"21,906",Atlanta_Georgia,4,606,Free Wifi ,#119 Best Value of 289 places to stay in Atlanta
Residence Inn Atlanta Downtown,"23,290",Atlanta_Georgia,4,585,Free Wifi ,#120 Best Value of 289 places to stay in Atlanta
Hyatt Place Atlanta / Centennial Park,"21,581",Atlanta_Georgia,4,283,Free Wifi ,Not available
Wylie Hotel,"30,223",Atlanta_Georgia,5,25,Free Wifi ,#121 Best Value of 289 places to stay in Atlanta
DoubleTree by Hilton Hotel Atlanta - Marietta,"17,423",Atlanta_Georgia,4,"1,074",Free Wifi ,#122 Best Value of 289 places to stay in Atlanta
"The Westin Peachtree Plaza, Atlanta","26,147",Atlanta_Georgia,4,"3,614",Pool ,#123 Best Value of 289 places to stay in Atlanta
Hilton Atlanta,"15,295",Atlanta_Georgia,3.5,"1,343",Restaurant ,#124 Best Value of 289 places to stay in Atlanta
Clarion Inn & Suites,"17,449",Atlanta_Georgia,4,157,Free Wifi ,#125 Best Value of 289 places to stay in Atlanta
La Quinta Inn & Suites by Wyndham Atlanta Midtown - Buckhead,"17,944",Atlanta_Georgia,3.5,731,Free Wifi ,#126 Best Value of 289 places to stay in Atlanta
"The Ritz-Carlton, Atlanta","44,278",Atlanta_Georgia,4,186,Restaurant ,#127 Best Value of 289 places to stay in Atlanta
Hilton Garden Inn Atlanta Midtown,"23,115",Atlanta_Georgia,4,"1,023",Free Wifi ,#128 Best Value of 289 places to stay in Atlanta
SpringHill Suites Atlanta Buckhead,"16,043",Atlanta_Georgia,4,209,Pool ,#129 Best Value of 289 places to stay in Atlanta
DoubleTree by Hilton Hotel Atlanta - Northlake,"20,473",Atlanta_Georgia,4,183,Free Wifi ,#130 Best Value of 289 places to stay in Atlanta
Hyatt Place Atlanta Airport North,"18,886",Atlanta_Georgia,4,"1,322",Free Wifi ,#131 Best Value of 289 places to stay in Atlanta
The Historic Fairfield Inn & Suites Atlanta Downtown,"24,780",Atlanta_Georgia,3.5,742,Fitness center ,#132 Best Value of 289 places to stay in Atlanta
Omni Atlanta Hotel at CNN Center,"24,782",Atlanta_Georgia,4,"7,519",Pool ,#133 Best Value of 289 places to stay in Atlanta
Homewood Suites by Hilton Atlanta Midtown,"21,563",Atlanta_Georgia,4,823,Free Wifi ,#134 Best Value of 289 places to stay in Atlanta
Embassy Suites by Hilton Atlanta - Airport,"27,773",Atlanta_Georgia,3.5,"1,686",Pool ,#135 Best Value of 289 places to stay in Atlanta
Atlanta Marriott Marquis,"25,606",Atlanta_Georgia,4,"1,980",Pool ,#136 Best Value of 289 places to stay in Atlanta
Hilton Garden Inn Atlanta - Buckhead,"17,078",Atlanta_Georgia,3.5,"1,445",Free Wifi ,#137 Best Value of 289 places to stay in Atlanta
AC Hotel Atlanta Downtown,"24,440",Atlanta_Georgia,4,273,Free Wifi ,#138 Best Value of 289 places to stay in Atlanta
Sonesta Atlanta Airport North,"17,449",Atlanta_Georgia,3.5,"1,003",Free Wifi ,#139 Best Value of 289 places to stay in Atlanta
Wingate by Wyndham Atlanta Galleria/Ballpark,"15,907",Atlanta_Georgia,3.5,"1,675",Free Wifi ,#140 Best Value of 289 places to stay in Atlanta
Courtyard Atlanta Buckhead,"16,905",Atlanta_Georgia,4,441,Free Wifi ,#141 Best Value of 289 places to stay in Atlanta
Sonesta ES Suites Atlanta - Perimeter Center North,"17,449",Atlanta_Georgia,4,643,Free Wifi ,#142 Best Value of 289 places to stay in Atlanta
"Crowne Plaza Atlanta - Midtown, an IHG Hotel","25,142",Atlanta_Georgia,4,458,Free Wifi ,#143 Best Value of 289 places to stay in Atlanta
Quality Inn Northlake,"14,316",Atlanta_Georgia,4,224,Free Wifi ,#144 Best Value of 289 places to stay in Atlanta
Sonesta Select Atlanta Midtown Georgia Tech,"22,046",Atlanta_Georgia,3.5,312,Free Wifi ,#145 Best Value of 289 places to stay in Atlanta
"Inn At The Peachtrees, Ascend Hotel Collection","20,528",Atlanta_Georgia,3.5,"1,044",Free Wifi ,#146 Best Value of 289 places to stay in Atlanta
Residence Inn Atlanta Midtown/Peachtree at 17th,"20,028",Atlanta_Georgia,3.5,416,Free Wifi ,#147 Best Value of 289 places to stay in Atlanta
DoubleTree by Hilton Hotel Atlanta Airport,"21,218",Atlanta_Georgia,3.5,"1,403",Free Wifi ,#148 Best Value of 289 places to stay in Atlanta
Sonesta Select Atlanta Cumberland Galleria,"15,396",Atlanta_Georgia,3.5,220,Free Wifi ,#149 Best Value of 289 places to stay in Atlanta
Residence Inn Atlanta Midtown/Georgia Tech,"22,253",Atlanta_Georgia,4,147,Free Wifi ,#150 Best Value of 289 places to stay in Atlanta
Atlanta Marriott Buckhead Hotel & Conference Center,"22,620",Atlanta_Georgia,4,756,Visit hotel website ,Not available
Embassy Suites by Hilton Atlanta Midtown,"22,943",Atlanta_Georgia,3.5,26,Free Wifi ,#151 Best Value of 289 places to stay in Atlanta
AC Hotel by Marriott Atlanta Airport Gateway,"24,495",Atlanta_Georgia,4,28,Restaurant ,#152 Best Value of 289 places to stay in Atlanta
Embassy Suites by Hilton Atlanta - Buckhead,"18,113",Atlanta_Georgia,3,12,Pool ,#153 Best Value of 289 places to stay in Atlanta
Days Inn by Wyndham Atlanta Marietta Ballpark,"15,353",Atlanta_Georgia,3,520,Free Wifi ,#154 Best Value of 289 places to stay in Atlanta
Comfort Suites Atlanta Airport,"13,197",Atlanta_Georgia,3.5,361,Free Wifi ,#155 Best Value of 289 places to stay in Atlanta
Aloft Atlanta At The Battery Atlanta,"21,908",Atlanta_Georgia,3.5,13,Free Wifi ,#156 Best Value of 289 places to stay in Atlanta
Homewood Suites by Hilton Atlanta - Buckhead,"23,805",Atlanta_Georgia,3.5,26,Free Wifi ,#157 Best Value of 289 places to stay in Atlanta
Barclay Hotel Atlanta Downtown,"19,019",Atlanta_Georgia,3.5,502,Free Wifi ,#158 Best Value of 289 places to stay in Atlanta
"Country Inn & Suites by Radisson, Atlanta Downtown South at Turner Field, GA","17,357",Atlanta_Georgia,3,"1,030",Free Wifi ,#159 Best Value of 289 places to stay in Atlanta
Extended Stay America - Atlanta - Clairmont,"17,076",Atlanta_Georgia,3.5,66,Free Wifi ,#160 Best Value of 289 places to stay in Atlanta
"Epicurean Atlanta, Autograph Collection","51,061",Atlanta_Georgia,5,2,Free Wifi ,#161 Best Value of 289 places to stay in Atlanta
"Holiday Inn Atlanta-Northlake, an IHG hotel","16,224",Atlanta_Georgia,3.5,183,Free Wifi ,#162 Best Value of 289 places to stay in Atlanta
Home2 Suites by Hilton Atlanta Midtown,"24,780",Atlanta_Georgia,3,33,Free Wifi ,#163 Best Value of 289 places to stay in Atlanta
Quality Inn & Suites,"14,749",Atlanta_Georgia,3.5,26,Free Wifi ,#164 Best Value of 289 places to stay in Atlanta
Super 8 by Wyndham Atlanta/Jonesboro Road,"12,168",Atlanta_Georgia,3,160,Free Wifi ,#165 Best Value of 289 places to stay in Atlanta
Quality Inn Atlanta Northeast I-85,"12,317",Atlanta_Georgia,3,109,Free Wifi ,#166 Best Value of 289 places to stay in Atlanta
Americas Best Value Inn - Downtown / Midtown,"15,524",Atlanta_Georgia,3,120,Free Wifi ,#167 Best Value of 289 places to stay in Atlanta
Home2 Suites by Hilton Atlanta Airport West,"17,423",Atlanta_Georgia,2,54,Free Wifi ,#168 Best Value of 289 places to stay in Atlanta
Econo Lodge,"10,488",Atlanta_Georgia,1.5,151,Free Wifi ,#169 Best Value of 289 places to stay in Atlanta
"Motel 6 Atlanta, GA - Stadium SE","9,781",Atlanta_Georgia,2,60,Free Wifi ,#170 Best Value of 289 places to stay in Atlanta
Alecia B&B,"19,838",Atlanta_Georgia,1,1,Not available,#171 Best Value of 289 places to stay in Atlanta
The Highland Inn,"22,000",Atlanta_Georgia,3.5,562,Free Wifi ,#79 of 197 hotels in Atlanta
Holiday Inn Atlanta Midtown,"22,000",Atlanta_Georgia,4,4,Room service ,#151 of 197 hotels in Atlanta
Hampton Inn Atlanta Midtown,"22,000",Atlanta_Georgia,3,19,Free Wifi ,#152 of 197 hotels in Atlanta
Biltmore Suites,"22,000",Atlanta_Georgia,5,1,Not available,#155 of 197 hotels in Atlanta
InterContinental Buckhead Atlanta,20000,Atlanta_Georgia,4.5,"3,312",Pool ,#21 of 197 hotels in Atlanta
Reverb By Hard Rock Downtown Atlanta,20000,Atlanta_Georgia,4,34,00 1 470-284-1110 ,#122 of 197 hotels in Atlanta
WoodSpring Suites Atlanta Chamblee,20000,Atlanta_Georgia,4,76,Free Wifi ,#132 of 197 hotels in Atlanta
Cheshire Motor Inn,20000,Atlanta_Georgia,3.5,61,Free Wifi ,#138 of 197 hotels in Atlanta
Four Points by Sheraton Atlanta Downtown,20000,Atlanta_Georgia,4,1,Not available,#153 of 197 hotels in Atlanta
Knights Inn Forest Park,"22,000",Atlanta_Georgia,3,2,Not available,#157 of 197 hotels in Atlanta
Budget Inn,"22,000",Atlanta_Georgia,3.5,2,Not available,#159 of 197 hotels in Atlanta
Ponce de Leon Hotel,"22,000",Atlanta_Georgia,3,4,Not available,#163 of 197 hotels in Atlanta
"Motel 6 Atlanta, GA – Smyrna","22,000",Atlanta_Georgia,2.5,7,Free Wifi ,#166 of 197 hotels in Atlanta
Fulton Inn Motor Hotel,"22,000",Atlanta_Georgia,2,5,Free Wifi ,#168 of 197 hotels in Atlanta
A2C Budget Hotel,"22,000",Atlanta_Georgia,1.5,31,Free parking ,#171 of 197 hotels in Atlanta
Intown Suites Piedmont,"22,000",Atlanta_Georgia,1,16,Free Wifi ,#179 of 197 hotels in Atlanta
Motel 6 Atlanta - Chamblee Tucker,"22,000",Atlanta_Georgia,2,25,Free Wifi ,#180 of 197 hotels in Atlanta
Travel Inn Atlanta,"22,000",Atlanta_Georgia,1.5,43,Free Wifi ,#182 of 197 hotels in Atlanta
OYO Valdosta GA N Ashley St,"22,000",Atlanta_Georgia,0,0,Free parking ,Not available
Thompson Buckhead,"22,000",Atlanta_Georgia,0,0,Not available,Not available
Springhill Suites Atlanta Northwest,"22,000",Atlanta_Georgia,0,0,Not available,Not available
Lenox Villas,"22,000",Atlanta_Georgia,0,0,Not available,Not available
Atlanta Motel,"22,000",Atlanta_Georgia,0,0,Not available,Not available
Airway Motel,"22,000",Atlanta_Georgia,0,0,Not available,Not available
